gamma,site0_pop,site1_pop,site2_pop,site3_pop,total_single_exc,efficiency
0.0,0.0,0.0,0.0,0.03998214958513955,0.03998214958513955,0.03998214958513955
0.25,0.0,0.0,0.0,0.07808115382217115,0.07808115382217115,0.07808115382217115
0.5,0.0,0.0,0.0,0.11556167549120185,0.11556167549120185,0.11556167549120185
0.75,0.0,0.0,0.0,0.1518965252610862,0.1518965252610862,0.1518965252610862
1.0,0.0,0.0,0.0,0.18675642212978785,0.18675642212978785,0.18675642212978785
1.25,0.0,0.0,0.0,0.21995377709161731,0.21995377709161731,0.21995377709161731
1.5,0.0,0.0,0.0,0.2514009034789855,0.2514009034789855,0.2514009034789855
1.75,0.0,0.0,0.0,0.28107923860714246,0.28107923860714246,0.28107923860714246
2.0,0.0,0.0,0.0,0.30901687449128185,0.30901687449128185,0.30901687449128185
2.25,0.0,0.0,0.0,0.335272302044204,0.335272302044204,0.335272302044204
2.5,0.0,0.0,0.0,0.3599227667081888,0.3599227667081888,0.3599227667081888
2.75,0.0,0.0,0.0,0.3830560237400356,0.3830560237400356,0.3830560237400356
3.0,0.0,0.0,0.0,0.40476458404972143,0.40476458404972143,0.40476458404972143
