method,solution,cut_value,execution_time,trial_seed,quality,graph_name,exact_optimum,schema_version
Classical SA (Metropolis),"[1, 0, 1, 0]",4,0.005021095275878906,4071,1.0,K4,4,1
Classical SA (Metropolis),"[0, 0, 1, 1]",4,0.005189180374145508,6937,1.0,K4,4,1
Classical SA (Metropolis),"[1, 0, 0, 1]",4,0.004971981048583984,9887,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0]",4,0.0051000118255615234,7742,1.0,K4,4,1
Classical SA (Metropolis),"[0, 0, 1, 1]",4,0.00513005256652832,5873,1.0,K4,4,1
Classical SA (Metropolis),"[1, 1, 0, 0]",4,0.004931926727294922,2567,1.0,K4,4,1
Classical SA (Metropolis),"[1, 0, 0, 1]",4,0.0051288604736328125,6615,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0]",4,0.005305051803588867,6807,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0]",4,0.005074977874755859,6927,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 0, 1]",4,0.005048990249633789,1495,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 0, 1]",4,0.004932880401611328,6584,1.0,K4,4,1
Classical SA (Metropolis),"[1, 0, 0, 1]",4,0.00522303581237793,3465,1.0,K4,4,1
Classical SA (Metropolis),"[1, 0, 0, 1]",4,0.004949092864990234,6823,1.0,K4,4,1
Classical SA (Metropolis),"[1, 0, 1, 0]",4,0.005307912826538086,8323,1.0,K4,4,1
Classical SA (Metropolis),"[1, 0, 1, 0]",4,0.005210161209106445,4957,1.0,K4,4,1
Classical SA (Metropolis),"[1, 1, 0, 0]",4,0.004913806915283203,7284,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0]",4,0.0050089359283447266,5951,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0]",4,0.0051000118255615234,8759,1.0,K4,4,1
Classical SA (Metropolis),"[0, 0, 1, 1]",4,0.0049839019775390625,8910,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0]",4,0.004906177520751953,4252,1.0,K4,4,1
Tabu Search,"[0, 0, 1, 1]",4,2.108985185623169,4071,1.0,K4,4,1
Tabu Search,"[1, 1, 0, 0]",4,2.100389003753662,6937,1.0,K4,4,1
Tabu Search,"[0, 1, 1, 0]",4,2.100299835205078,9887,1.0,K4,4,1
Tabu Search,"[1, 1, 0, 0]",4,2.10046124458313,7742,1.0,K4,4,1
Tabu Search,"[1, 0, 0, 1]",4,2.1004421710968018,5873,1.0,K4,4,1
Tabu Search,"[1, 0, 1, 0]",4,2.1086270809173584,2567,1.0,K4,4,1
Tabu Search,"[1, 0, 0, 1]",4,2.1004421710968018,6615,1.0,K4,4,1
Tabu Search,"[1, 1, 0, 0]",4,2.100166082382202,6807,1.0,K4,4,1
Tabu Search,"[0, 0, 1, 1]",4,2.1005077362060547,6927,1.0,K4,4,1
Tabu Search,"[0, 0, 1, 1]",4,2.103538990020752,1495,1.0,K4,4,1
Tabu Search,"[1, 1, 0, 0]",4,2.0996320247650146,6584,1.0,K4,4,1
Tabu Search,"[0, 1, 0, 1]",4,2.0994508266448975,3465,1.0,K4,4,1
Tabu Search,"[0, 0, 1, 1]",4,2.0996711254119873,6823,1.0,K4,4,1
Tabu Search,"[0, 1, 0, 1]",4,2.100296974182129,8323,1.0,K4,4,1
Tabu Search,"[0, 0, 1, 1]",4,2.100144863128662,4957,1.0,K4,4,1
Tabu Search,"[1, 1, 0, 0]",4,2.0997328758239746,7284,1.0,K4,4,1
Tabu Search,"[1, 0, 0, 1]",4,2.100440740585327,5951,1.0,K4,4,1
Tabu Search,"[0, 0, 1, 1]",4,2.101447343826294,8759,1.0,K4,4,1
Tabu Search,"[1, 0, 1, 0]",4,2.1004951000213623,8910,1.0,K4,4,1
Tabu Search,"[1, 1, 0, 0]",4,2.0996780395507812,4252,1.0,K4,4,1
Classical SA (Metropolis),"[0, 1, 1, 0, 0, 1]",9,0.008275985717773438,1958,1.0,K6,9,1
Classical SA (Metropolis),"[0, 0, 0, 1, 1, 1]",9,0.008221864700317383,1470,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 0, 1, 0, 1]",9,0.00820302963256836,3643,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 0, 1, 1, 0]",9,0.008225679397583008,5677,1.0,K6,9,1
Classical SA (Metropolis),"[0, 0, 0, 1, 1, 1]",9,0.008263111114501953,8771,1.0,K6,9,1
Classical SA (Metropolis),"[0, 1, 0, 1, 0, 1]",9,0.008195877075195312,4216,1.0,K6,9,1
Classical SA (Metropolis),"[0, 1, 0, 1, 1, 0]",9,0.008091926574707031,8180,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 0, 1, 0, 0]",9,0.008334159851074219,2157,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 1, 0, 0, 0]",9,0.009113073348999023,9628,1.0,K6,9,1
Classical SA (Metropolis),"[0, 1, 0, 0, 1, 1]",9,0.008399724960327148,4712,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 0, 0, 1, 0]",9,0.008308172225952148,3427,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 1, 0, 1, 0]",9,0.008404016494750977,3559,1.0,K6,9,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 1]",9,0.008054018020629883,7698,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 1, 0, 0, 1]",9,0.00832676887512207,2100,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 0, 1, 1, 0]",9,0.008044958114624023,2661,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1]",9,0.008500814437866211,5195,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 1, 0, 0, 0]",9,0.0084228515625,8095,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 0, 1, 0, 1]",9,0.008286237716674805,4232,1.0,K6,9,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 1]",9,0.008246898651123047,1146,1.0,K6,9,1
Classical SA (Metropolis),"[0, 1, 0, 1, 0, 1]",9,0.008091926574707031,3465,1.0,K6,9,1
Tabu Search,"[1, 1, 0, 1, 0, 0]",9,2.1005098819732666,1958,1.0,K6,9,1
